"redis_instances","type","throughput","avg_latency","p99_latency","min_latency","max_latency"
1,non_ipc,58892.82,0.48,1.25,0.16,2.77
1,non_ipc,59737.16,0.47,1.19,0.184,3.1
1,non_ipc,59630.29,0.48,1.26,0.168,3.31
1,non_ipc,59347.18,0.49,1.18,0.232,2.73
1,non_ipc,59488.4,0.49,1.31,0.176,3.34
2,non_ipc,115528.54,0.5,1.53,0.144,4.25
2,non_ipc,110037.1,0.53,1.32,0.16,3.1
2,non_ipc,117613.7,0.5,1.29,0.192,3.52
2,non_ipc,117859.13,0.49,1.21,0.176,2.77
2,non_ipc,117835.88,0.5,1.29,0.176,2.81
3,non_ipc,179440.88,0.5,1.28,0.136,2.86
3,non_ipc,170425.49,0.68,1.98,0.152,9.3
3,non_ipc,173610.98,0.6,1.49,0.16,4.16
3,non_ipc,180656.64,0.59,1.63,0.152,5.17
3,non_ipc,179111.52,0.5,1.42,0.136,4.74
4,non_ipc,204585.93,0.64,1.61,0.112,5.14
4,non_ipc,213067.8,0.53,1.25,0.128,2.84
4,non_ipc,227007.78,0.57,1.89,0.144,8.16
4,non_ipc,215363.7,0.59,1.29,0.144,3.25
4,non_ipc,215548.95,0.66,2.21,0.128,9.56
5,non_ipc,235407.27,0.68,2.16,0.168,7.14
5,non_ipc,258133.84,0.68,1.71,0.152,5.42
5,non_ipc,274710.17,0.63,2.14,0.152,11.13
5,non_ipc,254564.2,0.69,2.21,0.16,11.65
5,non_ipc,242952.39,0.74,1.94,0.168,11.38
6,non_ipc,299580.78,0.61,1.57,0.128,5.58
6,non_ipc,296565.79,0.63,1.69,0.16,6.28
6,non_ipc,268166.77,0.74,2.3,0.152,12.92
6,non_ipc,288847.81,0.64,2.1,0.144,7.45
6,non_ipc,302899.72,0.66,1.59,0.176,4.63
7,non_ipc,334772.92,0.7,2.58,0.128,12.38
7,non_ipc,307412.35,0.72,2.86,0.128,20.16
7,non_ipc,310356.01,0.76,2.03,0.136,5.41
7,non_ipc,333284.79,0.68,1.9,0.152,8.41
7,non_ipc,316314.31,0.67,1.87,0.152,7.55
8,non_ipc,383227.32,0.65,2.24,0.152,9.3
8,non_ipc,370572.15,0.71,3.17,0.176,15.67
8,non_ipc,376894.52,0.69,2.27,0.144,6.88
8,non_ipc,399732.2,0.62,1.85,0.128,6.89
8,non_ipc,403133.47,0.64,1.91,0.088,7.58
9,non_ipc,423000.27,0.7,2.21,0.16,8.54
9,non_ipc,448794.16,0.6,2.01,0.16,9.91
9,non_ipc,412357.82,0.66,2.03,0.128,6.53
9,non_ipc,438838.34,0.64,2.04,0.144,9.53
9,non_ipc,408821.48,0.72,3.26,0.128,16.64
10,non_ipc,449838.71,0.76,2.26,0.144,12.78
10,non_ipc,449925.36,0.75,3.04,0.168,8.77
10,non_ipc,462133.61,0.76,3.89,0.12,17.7
10,non_ipc,446632.83,0.8,2.6,0.128,18.18
10,non_ipc,478897.52,0.63,3.17,0.144,5.62
11,non_ipc,493962.95,0.73,2.58,0.136,17.09
11,non_ipc,513442.61,0.68,2.7,0.152,13.21
11,non_ipc,503729.2,0.71,2.79,0.168,20.98
11,non_ipc,493691.92,0.73,2.73,0.168,15.57
11,non_ipc,509368.01,0.66,3.22,0.128,13.0
12,non_ipc,520194.48,0.78,2.56,0.152,13.73
12,non_ipc,536305.63,0.74,3.42,0.152,25.1
12,non_ipc,538027.18,0.72,3.61,0.168,11.06
12,non_ipc,544973.26,0.74,3.72,0.128,12.26
12,non_ipc,510801.03,0.78,3.13,0.152,23.89
13,non_ipc,571070.68,0.76,3.44,0.168,14.58
13,non_ipc,581954.07,0.71,3.32,0.16,13.96
13,non_ipc,569640.65,0.73,4.1,0.16,12.0
13,non_ipc,574189.29,0.77,3.76,0.152,25.2
13,non_ipc,553048.13,0.77,3.63,0.168,28.27
