"redis_instances","throughput","type"
40,865602.8,non-ipc
40,871165.75,non-ipc
40,891822.62,non-ipc
40,874200.01,non-ipc
40,870049.63,non-ipc
40,917709.49,ipc_60threads
40,896694.16,ipc_60threads
40,876982.54,ipc_60threads
40,885781.33,ipc_60threads
40,851524.94,ipc_60threads
40,860668.54,ipc_50threads
40,903951.2,ipc_50threads
40,830190.22,ipc_50threads
40,877544.3,ipc_50threads
40,844995.93,ipc_50threads
40,805209.08,ipc_40threads
40,853318.41,ipc_40threads
40,873684.06,ipc_40threads
40,886216.5,ipc_40threads
40,835436.31,ipc_40threads
40,825375.34,ipc_30threads
40,855710.07,ipc_30threads
40,849461.13,ipc_30threads
40,798046.34,ipc_30threads
40,832424.24,ipc_30threads
