"redis_instances","throughput","type"
1,60496.07,non_ipc
1,61124.69,non_ipc
1,61881.19,non_ipc
1,61804.7,non_ipc
1,61274.51,non_ipc
1,61728.39,ipc_1_threads
1,60204.7,ipc_1_threads
1,60132.29,ipc_1_threads
1,62972.29,ipc_1_threads
1,60240.96,ipc_1_threads
1,60096.15,ipc_2_threads
1,61162.08,ipc_2_threads
1,61614.29,ipc_2_threads
1,60532.69,ipc_2_threads
1,62578.22,ipc_2_threads
1,61766.52,ipc_4_threads
1,60532.69,ipc_4_threads
1,59488.4,ipc_4_threads
1,60606.06,ipc_4_threads
1,60790.27,ipc_4_threads
1,64061.5,ipc_8_threads
1,58377.11,ipc_8_threads
1,62421.97,ipc_8_threads
1,62073.25,ipc_8_threads
1,58548.01,ipc_8_threads
1,32113.04,ipc_16_threads
1,39370.08,ipc_16_threads
1,35186.49,ipc_16_threads
1,49043.65,ipc_16_threads
1,47664.44,ipc_16_threads
1,40816.32,ipc_24_threads
1,44662.79,ipc_24_threads
1,31426.78,ipc_24_threads
1,39154.27,ipc_24_threads
1,41135.34,ipc_24_threads
1,34614.05,ipc_32_threads
1,36205.65,ipc_32_threads
1,37369.21,ipc_32_threads
1,34176.35,ipc_32_threads
1,29976.02,ipc_32_threads
1,38022.81,ipc_40_threads
1,40436.71,ipc_40_threads
1,38654.81,ipc_40_threads
1,33222.59,ipc_40_threads
1,31715.82,ipc_40_threads
1,36927.62,ipc_64_threads
1,34129.69,ipc_64_threads
1,36483.04,ipc_64_threads
1,33123.55,ipc_64_threads
1,32938.08,ipc_64_threads
5,253091.99,non_ipc
5,226956.54,non_ipc
5,260074.62,non_ipc
5,241331.83,non_ipc
5,279288.85,non_ipc
5,252010.55,ipc_1_threads
5,264668.84,ipc_1_threads
5,263434.2,ipc_1_threads
5,244934.58,ipc_1_threads
5,233958.76,ipc_1_threads
5,275367.6,ipc_2_threads
5,262428.44,ipc_2_threads
5,251057.4,ipc_2_threads
5,261268.35,ipc_2_threads
5,272059.72,ipc_2_threads
5,242960.41,ipc_4_threads
5,265827.81,ipc_4_threads
5,268953.3,ipc_4_threads
5,251287.06,ipc_4_threads
5,260721.59,ipc_4_threads
5,267899.14,ipc_8_threads
5,258232.58,ipc_8_threads
5,249587.09,ipc_8_threads
5,272368.54,ipc_8_threads
5,238003.27,ipc_8_threads
5,161638.76,ipc_16_threads
5,159058.85,ipc_16_threads
5,141080.59,ipc_16_threads
5,190449.82,ipc_16_threads
5,191131.98,ipc_16_threads
5,166663.56,ipc_24_threads
5,155333.8,ipc_24_threads
5,163581.66,ipc_24_threads
5,148140.91,ipc_24_threads
5,166885.9,ipc_24_threads
5,158993.3,ipc_32_threads
5,164757.42,ipc_32_threads
5,143957.1,ipc_32_threads
5,175590.88,ipc_32_threads
5,145554.59,ipc_32_threads
5,165537.49,ipc_40_threads
5,170589.42,ipc_40_threads
5,168851.62,ipc_40_threads
5,170541.9,ipc_40_threads
5,180961.66,ipc_40_threads
5,138135.33,ipc_64_threads
5,156162.14,ipc_64_threads
5,145338.7,ipc_64_threads
5,170913.61,ipc_64_threads
5,173017.88,ipc_64_threads
10,488966.09,non_ipc
10,459660.56,non_ipc
10,481358.93,non_ipc
10,449958.18,non_ipc
10,451119.03,non_ipc
10,467131.37,ipc_1_threads
10,467509.7,ipc_1_threads
10,473799.06,ipc_1_threads
10,460836.67,ipc_1_threads
10,458062.45,ipc_1_threads
10,453704.11,ipc_2_threads
10,420498.35,ipc_2_threads
10,456425.98,ipc_2_threads
10,465528.19,ipc_2_threads
10,466113.87,ipc_2_threads
10,492171.29,ipc_4_threads
10,475078.91,ipc_4_threads
10,457371.29,ipc_4_threads
10,456633.7,ipc_4_threads
10,457423.62,ipc_4_threads
10,451630.5,ipc_8_threads
10,447397.21,ipc_8_threads
10,425261.66,ipc_8_threads
10,431196.63,ipc_8_threads
10,436556.89,ipc_8_threads
10,287270.37,ipc_16_threads
10,317516.05,ipc_16_threads
10,301192.74,ipc_16_threads
10,354308.39,ipc_16_threads
10,317224.24,ipc_16_threads
10,345514.26,ipc_24_threads
10,325415.32,ipc_24_threads
10,310378.08,ipc_24_threads
10,311915.1,ipc_24_threads
10,319615.39,ipc_24_threads
10,308039.03,ipc_32_threads
10,299055.06,ipc_32_threads
10,281115.92,ipc_32_threads
10,280172.99,ipc_32_threads
10,327385.64,ipc_32_threads
10,315551.21,ipc_40_threads
10,303853.13,ipc_40_threads
10,316697.22,ipc_40_threads
10,303552.09,ipc_40_threads
10,342594.04,ipc_40_threads
10,331201.13,ipc_64_threads
10,305377.68,ipc_64_threads
10,319178.74,ipc_64_threads
10,299938.64,ipc_64_threads
10,312283.49,ipc_64_threads
15,621413.38,non_ipc
15,624805.38,non_ipc
15,621066.69,non_ipc
15,615917.9,non_ipc
15,638379.81,non_ipc
15,631038.23,ipc_1_threads
15,639621.41,ipc_1_threads
15,638051.73,ipc_1_threads
15,595670.55,ipc_1_threads
15,618030.57,ipc_1_threads
15,642859.56,ipc_2_threads
15,638231.31,ipc_2_threads
15,596239.14,ipc_2_threads
15,621502.43,ipc_2_threads
15,605000.46,ipc_2_threads
15,615551.16,ipc_4_threads
15,570598.78,ipc_4_threads
15,601967.35,ipc_4_threads
15,613693.33,ipc_4_threads
15,603134.55,ipc_4_threads
15,562474.54,ipc_8_threads
15,614415.3,ipc_8_threads
15,586671.47,ipc_8_threads
15,577351.48,ipc_8_threads
15,537809.12,ipc_8_threads
15,421316.85,ipc_16_threads
15,443417.59,ipc_16_threads
15,417691.08,ipc_16_threads
15,444217.49,ipc_16_threads
15,421665.66,ipc_16_threads
15,469516.6,ipc_24_threads
15,451752.13,ipc_24_threads
15,446945.05,ipc_24_threads
15,470326.55,ipc_24_threads
15,468722.4,ipc_24_threads
15,460871.95,ipc_32_threads
15,450671.16,ipc_32_threads
15,460734.27,ipc_32_threads
15,444634.93,ipc_32_threads
15,482525.55,ipc_32_threads
20,713597.99,non_ipc
20,695789.2,non_ipc
20,712282.0,non_ipc
20,723526.55,non_ipc
20,709787.18,non_ipc
20,706663.25,ipc_1_threads
20,717315.42,ipc_1_threads
20,712437.93,ipc_1_threads
20,711122.71,ipc_1_threads
20,710243.22,ipc_1_threads
20,707462.3,ipc_2_threads
20,706397.68,ipc_2_threads
20,700837.19,ipc_2_threads
20,710021.76,ipc_2_threads
20,710934.42,ipc_2_threads
20,701456.81,ipc_4_threads
20,702915.29,ipc_4_threads
20,695846.7,ipc_4_threads
20,700531.52,ipc_4_threads
20,684332.08,ipc_4_threads
20,667864.71,ipc_8_threads
20,643293.65,ipc_8_threads
20,676685.98,ipc_8_threads
20,652025.94,ipc_8_threads
20,665356.02,ipc_8_threads
20,545906.57,ipc_16_threads
20,532881.88,ipc_16_threads
20,530916.33,ipc_16_threads
20,541728.79,ipc_16_threads
20,557662.37,ipc_16_threads
20,570896.74,ipc_24_threads
20,563921.03,ipc_24_threads
20,555222.46,ipc_24_threads
20,563499.54,ipc_24_threads
20,560195.24,ipc_24_threads
20,556883.7,ipc_32_threads
20,530940.06,ipc_32_threads
20,538062.62,ipc_32_threads
20,556285.32,ipc_32_threads
20,558500.42,ipc_32_threads
20,575015.25,ipc_40_threads
20,563227.21,ipc_40_threads
20,570601.19,ipc_40_threads
20,561160.04,ipc_40_threads
20,549644.77,ipc_40_threads
20,575802.01,ipc_64_threads
20,565513.72,ipc_64_threads
20,581462.76,ipc_64_threads
20,574742.01,ipc_64_threads
20,556926.75,ipc_64_threads
25,813046.83,non_ipc
25,838225.81,non_ipc
25,833327.26,non_ipc
25,828667.18,non_ipc
25,825621.01,non_ipc
25,794824.57,ipc_1_threads
25,809536.38,ipc_1_threads
25,802426.87,ipc_1_threads
25,808522.76,ipc_1_threads
25,822419.48,ipc_1_threads
25,818392.18,ipc_2_threads
25,790605.25,ipc_2_threads
25,791355.56,ipc_2_threads
25,795963.57,ipc_2_threads
25,833616.22,ipc_2_threads
25,770634.53,ipc_4_threads
25,754645.79,ipc_4_threads
25,760467.25,ipc_4_threads
25,766129.26,ipc_4_threads
25,757593.49,ipc_4_threads
25,668243.32,ipc_8_threads
25,719527.39,ipc_8_threads
25,682515.99,ipc_8_threads
25,715649.6,ipc_8_threads
25,665572.98,ipc_8_threads
25,637489.48,ipc_16_threads
25,627707.86,ipc_16_threads
25,628180.29,ipc_16_threads
25,635939.37,ipc_16_threads
25,642670.58,ipc_16_threads
25,640943.41,ipc_24_threads
25,606300.61,ipc_24_threads
25,656007.69,ipc_24_threads
25,666328.89,ipc_24_threads
25,643335.22,ipc_24_threads
25,651793.75,ipc_32_threads
25,672356.52,ipc_32_threads
25,640300.38,ipc_32_threads
25,646186.64,ipc_32_threads
25,640505.24,ipc_32_threads
25,620377.45,ipc_40_threads
25,667394.89,ipc_40_threads
25,618100.88,ipc_40_threads
