"redis_instances","throughput","type"
1,60088.93,Hyperthread_on_Turboboost_on_VM
1,61758.89,Hyperthread_on_Turboboost_on_VM
1,51700.96,Hyperthread_on_Turboboost_on_VM
1,60731.21,Hyperthread_on_Turboboost_on_VM
1,54734.54,Hyperthread_on_Turboboost_on_VM
2,118188.35,Hyperthread_on_Turboboost_on_VM
2,106867.07,Hyperthread_on_Turboboost_on_VM
2,113024.31,Hyperthread_on_Turboboost_on_VM
2,119662.34,Hyperthread_on_Turboboost_on_VM
2,119999.11,Hyperthread_on_Turboboost_on_VM
3,165864.72,Hyperthread_on_Turboboost_on_VM
3,181193.88,Hyperthread_on_Turboboost_on_VM
3,164507.03,Hyperthread_on_Turboboost_on_VM
3,178473.71,Hyperthread_on_Turboboost_on_VM
3,164424.1,Hyperthread_on_Turboboost_on_VM
4,206971.22,Hyperthread_on_Turboboost_on_VM
4,227115.09,Hyperthread_on_Turboboost_on_VM
4,151576.81,Hyperthread_on_Turboboost_on_VM
4,210857.52,Hyperthread_on_Turboboost_on_VM
4,231229.33,Hyperthread_on_Turboboost_on_VM
5,211823.21,Hyperthread_on_Turboboost_on_VM
5,200795.16,Hyperthread_on_Turboboost_on_VM
5,271518.96,Hyperthread_on_Turboboost_on_VM
5,245520.84,Hyperthread_on_Turboboost_on_VM
5,177751.66,Hyperthread_on_Turboboost_on_VM
6,245887.7,Hyperthread_on_Turboboost_on_VM
6,239326.01,Hyperthread_on_Turboboost_on_VM
6,211022.22,Hyperthread_on_Turboboost_on_VM
6,272406.58,Hyperthread_on_Turboboost_on_VM
6,257903.16,Hyperthread_on_Turboboost_on_VM
7,223367.02,Hyperthread_on_Turboboost_on_VM
7,229638.76,Hyperthread_on_Turboboost_on_VM
7,185822.98,Hyperthread_on_Turboboost_on_VM
7,227404.67,Hyperthread_on_Turboboost_on_VM
7,217776.63,Hyperthread_on_Turboboost_on_VM
8,222793.81,Hyperthread_on_Turboboost_on_VM
8,211358.66,Hyperthread_on_Turboboost_on_VM
8,207487.08,Hyperthread_on_Turboboost_on_VM
